Segment,Customer_Count,Avg_Recency,Avg_Frequency,Avg_Spending,Total_Revenue,Revenue_Contribution_%,Customer_Base_%
Champions,178,77.97752808988764,3.466292134831461,26013.48691011236,4630400.67,50.69,26.14
At-Risk Customers,247,167.97165991902833,1.6477732793522266,12271.415465587044,3031039.62,33.18,36.27
Potential Loyalists,101,18.326732673267326,1.8415841584158417,10515.111584158416,1062026.27,11.63,14.83
Inactive / Lost,155,176.29032258064515,1.103225806451613,2655.5296774193553,411607.10000000003,4.51,22.76
